AG	Aargau	Argovia	About this sound Aargau (help·info)	Argovie	Argovia	Argovia
AI	Appenzell Innerrhoden	Appenzell Inner-Rhodes	About this sound Appenzell Innerrhoden (help·info)	Appenzell Rhodes-Intérieures	Appenzello Interno	Appenzell dadens
AR	Appenzell Ausserrhoden	Appenzell Outer-Rhodes	About this sound Appenzell Ausserrhoden (help·info)	Appenzell Rhodes-Extérieures	Appenzello Esterno	Appenzell dador
BS	Basel-Stadt	Basle-City	About this sound Basel-Stadt (help·info)	Bâle-Ville	Basilea-Città	Basilea-Citad
BL	Basel-Landschaft	Basle-Country	About this sound Basel-Landschaft (help·info)	Bâle-Campagne	Basilea-Campagna	Basilea-Champagna
BE	Bern	Berne	About this sound Bern (help·info)	Berne	Berna	Berna
FR	Fribourg	Friburg	About this sound Freiburg (help·info)	Fribourg	Friborgo	Friburg
GE	Geneva	-	About this sound Genf (help·info)	Genève	Ginevra	Genevra
GL	Glarus	Glaris	About this sound Glarus (help·info)	Glaris	Glarona	Glaruna
GR	Graubünden	Grisons	About this sound Graubünden (help·info)	Grisons	Grigioni	Grischun
JU	Jura	-	About this sound Jura (help·info)	Jura	Giura	Giura
LU	Lucerne	-	About this sound Luzern (help·info)	Lucerne	Lucerna	Lucerna
NE	Neuchâtel	-	About this sound Neuenburg (help·info)	Neuchâtel	Neuchâtel	Neuchâtel
NW	Nidwalden	Nidwald	About this sound Nidwalden (help·info)	Nidwald	Nidvaldo	Sutsilvania
OW	Obwalden	Obwald	About this sound Obwalden (help·info)	Obwald	Obvaldo	Sursilvania
SH	Schaffhausen	Schaffhouse	About this sound Schaffhausen (help·info)	Schaffhouse	Sciaffusa	Schaffusa
SZ	Schwyz	-	About this sound Schwyz (help·info)	Schwyz (or Schwytz)	Svitto	Sviz
SO	Solothurn	Soleure	About this sound Solothurn (help·info)	Soleure	Soletta	Soloturn
SG	St. Gallen	St. Gall	About this sound St. Gallen (help·info)	Saint-Gall	San Gallo	Son Gagl
TG	Thurgau	Thurgovia	About this sound Thurgau (help·info)	Thurgovie	Turgovia	Turgovia
TI	Ticino	Tessin	About this sound Tessin (help·info)	Tessin	Ticino	Tessin
UR	Uri	-	About this sound Uri (help·info)	Uri	Uri	Uri
VS	Valais	Wallis	About this sound Wallis (help·info)	Valais	Vallese	Vallais
VD	Vaud	-	About this sound Waadt (help·info)	Vaud	Vaud	Vad
ZG	Zug	-	About this sound Zug (help·info)	Zoug	Zugo	Zug
ZH	Zürich	Zurich	About this sound Zürich (help·info)	Zürich	Zurigo	Turitg
